藝人中文名,藝人英文名,類型,地區,入圍紀錄,得獎紀錄,來源網址
FUTURE AFTER A SECOND,,待確認,待確認,第16屆金音 最佳樂團獎；第16屆金音 最佳搖滾專輯獎,第16屆金音 最佳搖滾專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
貓膽汁,,待確認,待確認,第16屆金音 最佳樂團獎；第16屆金音 最佳搖滾歌曲獎,第16屆金音 最佳搖滾歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
當代電影大師,,團體,國內,第16屆金音 最佳樂團獎；第16屆金音 最佳現場演出獎；第16屆金音 最佳搖滾專輯獎；第16屆金音 最佳搖滾歌曲獎,第16屆金音 最佳現場演出獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
LÜCY,,待確認,待確認,第16屆金音 最佳創作歌手獎；第16屆金音 最佳另類流行專輯獎；第16屆金音 最佳另類流行歌曲獎,第16屆金音 最佳另類流行歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
林奕碩,,待確認,待確認,第16屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
林以樂,,待確認,待確認,第16屆金音 最佳創作歌手獎；第16屆金音 最佳另類流行專輯獎,第16屆金音 最佳創作歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
BRBP,,待確認,待確認,第16屆金音 最佳新人獎；第16屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
FTK,,待確認,待確認,第16屆金音 最佳新人獎；第16屆金音 最佳電音專輯獎；第16屆金音 最佳電音歌曲獎,第16屆金音 最佳電音專輯獎；第16屆金音 最佳電音歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Tickle Tickle癢癢,,待確認,待確認,第16屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
謝明諺,,男歌手,國內,第16屆金音 最佳樂手獎；第16屆金音 最佳爵士專輯獎；第15屆金音 最佳樂手獎；第15屆金音 最佳爵士專輯獎；第15屆金音 最佳爵士歌曲獎,第15屆金音 最佳爵士歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
鍾錡,,待確認,待確認,第16屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
吳政君,,待確認,待確認,第16屆金音 最佳樂手獎,第16屆金音 最佳樂手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657
黃瑞豐,,待確認,待確認,第16屆金音 最佳樂手獎,第16屆金音 最佳樂手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657
利惟庸,,待確認,待確認,第16屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
鄭昭元,,待確認,待確認,第16屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Leo王,,男歌手,國內,第16屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
胖虎,,待確認,待確認,第16屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Fat Hamster and KANG New,,待確認,國外,第16屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Jacqui,,待確認,待確認,第16屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Lomba Sihir,,待確認,待確認,第16屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
.Feast,,待確認,待確認,第16屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
ELLE SHIMADA,,待確認,待確認,第16屆金音 亞洲創作音樂獎,第16屆金音 亞洲創作音樂獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657
BEYOND CURE病入膏肓,,待確認,待確認,第16屆金音 最佳搖滾專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
擊沈女孩DESTROYERS,,待確認,待確認,第16屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
倒車入庫,,待確認,待確認,第16屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
王若琳,Joanna Wang,女歌手,國內,第16屆金音 最佳搖滾歌曲獎；第15屆金音 最佳專輯獎；第15屆金音 最佳創作歌手獎；第15屆金音 最佳另類流行專輯獎；第15屆金音 最佳另類流行歌曲獎,第15屆金音 最佳創作歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Sapud Kacaw撒部．噶照,,待確認,待確認,第16屆金音 最佳民謠專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Naa'u娜塢,,待確認,待確認,第16屆金音 最佳民謠專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
柯智棠,,男歌手,國內,第16屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
江孟薰,,待確認,待確認,第16屆金音 最佳民謠歌曲獎,第16屆金音 最佳民謠歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657
李英宏,,男歌手,國內,第16屆金音 最佳嘻哈專輯獎；第16屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
楊舒雅,,待確認,待確認,第16屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
KNOWTIS,,待確認,待確認,第16屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
PUZZLEMAN,,待確認,待確認,第16屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
CED,,待確認,待確認,第16屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Wring Out Laura,,待確認,待確認,第16屆金音 最佳電音專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
KbN凱比鳥,,待確認,待確認,第16屆金音 最佳電音專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Oberka,,待確認,待確認,第16屆金音 最佳電音專輯獎；第16屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
B E N N,,待確認,待確認,第16屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Sonia Calico,,待確認,待確認,第16屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
富愛子AIKO TOMI,,待確認,待確認,第16屆金音 最佳電音歌曲獎；第16屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Tracy Yang楊又臻,,女歌手,國內,第16屆金音 最佳爵士專輯獎；第16屆金音 最佳爵士歌曲獎,第16屆金音 最佳爵士專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Plutato,,待確認,待確認,第16屆金音 最佳爵士專輯獎；第16屆金音 最佳爵士歌曲獎；第15屆金音 最佳樂團獎；第15屆金音 最佳新人獎；第15屆金音 最佳爵士專輯獎,第16屆金音 最佳爵士歌曲獎；第15屆金音 最佳爵士專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
陳子彰,,待確認,待確認,第16屆金音 最佳爵士專輯獎；第16屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
古樂樂良春Kuljelje Ljamcun,,待確認,待確認,第16屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
黃彥斌,,待確認,待確認,第16屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
Yufu／陳郁夫,,待確認,待確認,第16屆金音 最佳節奏藍調專輯獎；第16屆金音 最佳節奏藍調歌曲獎,第16屆金音 最佳節奏藍調專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
YELLOW黃宣,,男歌手,國內,第16屆金音 最佳節奏藍調歌曲獎；第16屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
阿跨面,,男歌手,國內,第15屆金音 最佳專輯獎；第15屆金音 最佳創作歌手獎；第15屆金音 最佳新人獎；第15屆金音 最佳嘻哈專輯獎；第15屆金音 最佳嘻哈歌曲獎,第15屆金音 最佳新人獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
傷心欲絕,,團體,國內,第15屆金音 最佳專輯獎；第15屆金音 最佳樂團獎；第15屆金音 最佳搖滾專輯獎；第15屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
拍謝少年,Sorry Youth,團體,國內,第15屆金音 最佳專輯獎；第15屆金音 最佳樂團獎；第15屆金音 最佳搖滾專輯獎,第15屆金音 最佳搖滾專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
布萊梅,,團體,國內,第15屆金音 最佳專輯獎；第15屆金音 最佳樂團獎；第15屆金音 最佳搖滾歌曲獎；第15屆金音 最佳另類流行專輯獎；第15屆金音 最佳另類流行歌曲獎,第15屆金音 最佳專輯獎；第15屆金音 最佳搖滾歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
我是機車少女I'mdifficult,,團體,國內,第15屆金音 最佳樂團獎；第15屆金音 最佳另類流行專輯獎；第15屆金音 最佳另類流行歌曲獎,第15屆金音 最佳另類流行專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
Dac,,待確認,待確認,第15屆金音 最佳創作歌手獎；第15屆金音 最佳現場演出獎；第15屆金音 最佳嘻哈專輯獎；第15屆金音 最佳節奏藍調歌曲獎；第15屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
劉暐,,待確認,待確認,第15屆金音 最佳創作歌手獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎；第15屆金音 評審團獎,第15屆金音 評審團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
鄭敬儒,,待確認,待確認,第15屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
鄭嘉富,,待確認,待確認,第15屆金音 最佳樂手獎,第15屆金音 最佳樂手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
李茂嵩,,待確認,待確認,第15屆金音 最佳樂手獎,第15屆金音 最佳樂手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
柯智豪Blaire Ko,,男歌手,國內,第15屆金音 最佳樂手獎；第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
潘子爵,,待確認,待確認,第15屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
張凱婷,,女歌手,國內,第15屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
簡聿民,,待確認,待確認,第15屆金音 最佳樂手獎,第15屆金音 最佳樂手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
MANDARK,,待確認,待確認,第15屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
假日貞操,,待確認,待確認,第15屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
黃業圓,,待確認,待確認,第15屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
LITE,,待確認,待確認,第15屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
Silica Gel,,團體,國外,第15屆金音 亞洲創作音樂獎,第15屆金音 亞洲創作音樂獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
Age Factory,,待確認,待確認,第15屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
NaraBara,,待確認,待確認,第15屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
溫室雜草,,待確認,待確認,第15屆金音 最佳搖滾專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
農村武裝青年,,團體,國內,第15屆金音 最佳民謠專輯獎；第15屆金音 最佳民謠歌曲獎,第15屆金音 最佳民謠歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
wannasleep,,待確認,待確認,第15屆金音 最佳嘻哈專輯獎；第15屆金音 最佳嘻哈歌曲獎,第15屆金音 最佳嘻哈歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
神經元,,待確認,待確認,第15屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
Dizparity,,待確認,待確認,第15屆金音 最佳電音專輯獎；第15屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
呂紹淳,,待確認,待確認,第15屆金音 最佳電音專輯獎；第15屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
Freedom Beat,,待確認,待確認,第15屆金音 最佳電音專輯獎；第15屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
cheer,,待確認,待確認,第15屆金音 最佳電音專輯獎；第15屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
笑琴,,待確認,待確認,第15屆金音 最佳電音專輯獎；第15屆金音 最佳電音歌曲獎,第15屆金音 最佳電音專輯獎；第15屆金音 最佳電音歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
幽法,,待確認,待確認,第15屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
魯千千,,待確認,待確認,第15屆金音 最佳爵士專輯獎；第15屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
踢霹歐爵士大樂團,,團體,國內,第15屆金音 最佳爵士專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
林煒翔／Roger Lin,,待確認,待確認,第15屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
王思雅／Debby Wang,,待確認,待確認,第15屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
LINION,,待確認,待確認,第15屆金音 最佳節奏藍調專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
問題總部,,待確認,待確認,第15屆金音 最佳節奏藍調專輯獎；第15屆金音 最佳節奏藍調歌曲獎,第15屆金音 最佳節奏藍調專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
SOPHY王嘉儀,,女歌手,國內,第15屆金音 最佳節奏藍調歌曲獎；第15屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
ØZI,,男歌手,國內,第15屆金音 最佳節奏藍調歌曲獎,第15屆金音 最佳節奏藍調歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
