藝人中文名,維基條目網址,簡介,狀態
Oberka,,,無條目
B E N N,,,無條目
Sonia Calico,,,無條目
富愛子AIKO TOMI,,,無條目
Tracy Yang楊又臻,,,無條目
Plutato,,,無條目
陳子彰,,,無條目
古樂樂良春Kuljelje Ljamcun,,,無條目
黃彥斌,,,無條目
Yufu／陳郁夫,,,無條目
YELLOW黃宣,,,無條目
阿跨面,,,無條目
傷心欲絕,https://zh.wikipedia.org/wiki/%E5%82%B7%E5%BF%83%E6%AC%B2%E7%B5%95,"傷心欲絕 是一支台灣五人搖滾樂團，於2008年成立，曾於2013年休團兩年。初期曲風深受龐克搖滾與另類搖滾影響，也包含了許多民謠搖滾的元素。傷心欲絕以「義無反顧的狂躁電吉他與激動的失真破嗓」作為標誌，曾與樂團透明雜誌、湯湯水水、盪在空中被戲稱為「師大公園四大天王」，也被認為是「絕望世代」的代表。
",已取得
拍謝少年,https://zh.wikipedia.org/wiki/%E6%8B%8D%E8%AC%9D%E5%B0%91%E5%B9%B4,"拍謝少年是一個來自台灣的台語搖滾樂團，成立於2005年。現任成員為吉他手維尼、貝斯手薑薑及鼓手宗翰。
",已取得
布萊梅,,,待確認
我是機車少女I'mdifficult,,,無條目
Dac,,,無條目
劉暐,,,待確認
鄭敬儒,,,無條目
鄭嘉富,,,無條目
李茂嵩,,,無條目
柯智豪Blaire Ko,,,無條目
潘子爵,,,無條目
張凱婷,,,無條目
簡聿民,,,無條目
MANDARK,,,無條目
假日貞操,,,無條目
黃業圓,,,無條目
LITE,,,無條目
Silica Gel,,,無條目
Age Factory,,,無條目
NaraBara,,,無條目
溫室雜草,https://zh.wikipedia.org/wiki/%E6%BA%AB%E5%AE%A4%E9%9B%9C%E8%8D%89,"溫室雜草 是一支來自台中的搖滾樂團，成立於2019年。目前團員有主唱兼吉他手阿J、吉他手聖丰、貝斯手正約及鼓手小康。
",已取得
農村武裝青年,https://zh.wikipedia.org/wiki/%E8%BE%B2%E6%9D%91%E6%AD%A6%E8%A3%9D%E9%9D%92%E5%B9%B4,"農村武裝青年樂團是成軍於2007年的台灣獨立樂團。
",已取得
wannasleep,https://zh.wikipedia.org/wiki/Wannasleep,"李奕賢（1999年6月13日—），藝名wannasleep，台灣獨立音樂人，擅長饒舌、創作詞曲、編曲。
",已取得
神經元,,,待確認
Dizparity,,,無條目
呂紹淳,,,無條目
Freedom Beat,,,無條目
cheer,,,待確認
笑琴,,,無條目
幽法,,,無條目
魯千千,,,無條目
踢霹歐爵士大樂團,,,無條目
林煒翔／Roger Lin,,,無條目
王思雅／Debby Wang,,,無條目
LINION,https://zh.wikipedia.org/wiki/LINION,"林翰宇，藝名LINION，是一名台灣創作歌手、貝斯手。
",已取得
問題總部,,,無條目
SOPHY王嘉儀,,,無條目
ØZI,https://zh.wikipedia.org/wiki/%C3%98ZI,"陳奕凡，藝名ØZI，台裔美籍創作男歌手、音樂製作人及MV導演。
",已取得
